Title,Source,PublishedAt,Description,URL,RegionSource,TaxonomyCode,RiskCategory,AffectedSupplier,ImpactedLocation,EstimatedSeverity
Israel takes delivery of its first Boeing KC-46A 'Gideon' tanker,Aerospace Global News,2026-05-28 08:02:27,Israel takes delivery of its first Boeing KC-46A 'Gideon' tanker  Aerospace Global News,https://news.google.com/rss/articles/CBMijAFBVV95cUxQbnJiTEpaQjVzbTh3VGowY0Z6YXgtbTRfdmtjOE9yYVpMRkRqb1Z5NkhOZlJwb2szcTFNd291R2dNbG5sdVJYbldKNVlMeEV0Q3FaNXNWNjltRGNQbmVEdU5GSkhsNVBKUi1iWVZSZWd6YnZoY212bkVzN3F6ZzM1WUxUcWtwSFJ6eWEwaA?oc=5,United States (EN),LT,"Logistics & Transportation (Rail delays, port congestion, shipping/air cargo capacity bottlenecks)",Boeing (Direct),"Renton, WA, US",2.5
Boeing $695 Billion Backlog Is Just the Beginning. Here’s Where BA Could Go by 2030.,TIKR.com,2026-05-07 07:00:00,Boeing $695 Billion Backlog Is Just the Beginning. Here’s Where BA Could Go by 2030.  TIKR.com,https://news.google.com/rss/articles/CBMiqgFBVV95cUxQLThrMUx2clphNG4tcDhraU9aS0ZpbWJPZE1oQ1BxcVBkVGhYYm1uQnNnYlFfSWVKcmloc1BOQWZlWWZ5WThra2RPcGdjN0w5ZDRVNGpyd2dNeTQyRGhfRnlwcUtkU0RZNXFNX01HcWdOMm9OTzdHUF9KNVRkVFdxQU9SWEpEVW1Ld0xobGVSVDhiUE04NHhERHhJbnRwR2duV05BYTRzZ0FmUQ?oc=5,United States (EN),MP,"Manufacturing & Production (Autoclave downtime, kiln shutdowns, factory floor capacity constraints)",Boeing (Direct),"Renton, WA, US",2.5
Is Boeing's Growing Backlog Strengthening Its Recovery Prospects?,Yahoo Finance,2026-05-20 07:00:00,Is Boeing's Growing Backlog Strengthening Its Recovery Prospects?  Yahoo Finance,https://news.google.com/rss/articles/CBMisAFBVV95cUxNTGh5OGd5SzFTUXZSTTJ5Vk5ySkxkNkNzWVJEVFJ4aUdGWEJTLVdQUzdzaXNCMmZSZW10MzVxNk1FODhwX0h1M3NOdDJxamtSdEpmUUdldE9jYThpYU1mTUp3T3pVUzA4cm5fMUZxNmlNM1JEWW1LRjlaZ0Y3V01DUEQ4ZTJXZlFfYmxnUDQtMkowYzBfWkpDSDlXMWc2QUcyd0pvaE1HZjgtTFFCNTctRQ?oc=5,United States (EN),CS,"Cyber & IT Security (Ransomware attacks, IT/system outages, data breaches at key suppliers)",Boeing (Direct),"Renton, WA, US",2.5
Airbus And Boeing Report March 2026 Commercial Aircraft Orders and Deliveries,Forecast International,2026-04-14 07:00:00,Airbus And Boeing Report March 2026 Commercial Aircraft Orders and Deliveries  Forecast International,https://news.google.com/rss/articles/CBMizwFBVV95cUxQdXVzNUdrUDFQYUlDMnRoSDVKV1UybmtibGwxNzZmdm1rc1BpRkhXTEpFb0NrNVQtS3RmZGpya0UtNGJNYW5TZ3JrYnE3REc2Ujh5dl9YUjVhV2FhYnZSVWJqalB2V21OZnRvdkpZdUdLakQ2dTFnRzJ5aW1mQWsxRE05bkZpaFotejhsTlRIX3BTTmd3VVNFQ2NPLWdac1ltLURtbGJGdDZiOGVRUWE2TGpWNkhSSkZMX2J1by1YRlowMFB1bW14Zk5WVDZoN0E?oc=5,United States (EN),MS,"Material & Component Shortages (Raw material shortages, castings, fasteners, titanium/nickel delays)",Boeing (Direct),"Renton, WA, US",2.5
"Boeing China Megadeal Could Recast Backlog, Risk Profile And Services Story",Yahoo Finance,2026-05-12 07:00:00,"Boeing China Megadeal Could Recast Backlog, Risk Profile And Services Story  Yahoo Finance",https://news.google.com/rss/articles/CBMioAFBVV95cUxOQm5fUkwyS2ozaHNMZEZPeXJ5NWhSZnppMmFVOGhKWjExY3JQY3ppWUQxUzZEdm9HMHVIU0RTeXhieE9jNFh6a1l2QllmMjFQeXNjbVNGWWVDUUtKUGJ1c0FBeFVUQWQ2SmRqdWZjTE5SSmd2Ym8tZzhvUWgxTF9Ib055d29YVm4wNDZWQzZiWlpIQ1VJc25LZ1M3QTlYSjVf?oc=5,United States (EN),MS,"Material & Component Shortages (Raw material shortages, castings, fasteners, titanium/nickel delays)",Boeing (Direct),"Renton, WA, US",2.5
Airbus and Boeing Report December 2025 Commercial Aircraft Orders and Deliveries,Forecast International,2026-01-15 08:00:00,Airbus and Boeing Report December 2025 Commercial Aircraft Orders and Deliveries  Forecast International,https://news.google.com/rss/articles/CBMi0wFBVV95cUxNUUx1Qm1MblZhcndyQ0VlaHFkUTA2Ump0UTJCU2tsWDFlX0ZleU8zVTkwemFfU0dramQ1MExDYUxzT2tfR2QwTEYwR3JXSElwZnlzSkZPc2xzNFREOHdJZWhfaXN1b2Nuek4takJCVzBVSm94MENNeWJrR0lkVk51NnFnNkJlMXg0YnBrekRtSEpDaHppV2ZMd0dJeDcwZC0wYjRPWjNsdzRxbWJ1T1ExUng1TUFJNV9DSS1tTnlvNG5UV1ZKNWYxejVBcU5PeHBmd3Fj?oc=5,United States (EN),MS,"Material & Component Shortages (Raw material shortages, castings, fasteners, titanium/nickel delays)",Boeing (Direct),"Renton, WA, US",2.5
Is Boeing a good long-term investment? Its backlog explained,Yahoo Finance,2026-05-12 07:00:00,Is Boeing a good long-term investment? Its backlog explained  Yahoo Finance,https://news.google.com/rss/articles/CBMihAFBVV95cUxOMEVuSEZmN1NQSGVBd3N2X3RFdEI4N291T3NrbEl2cC1SdUx4cDJTbldVNnFzZ0ktdExLZ0NLR3J2T2ZTS1RYcm1Ld3NIcDU2eWd1YUVaLW1uRWY2VjJMek1PQ3dUMjdyQ1U4M0MxTjByMlduTFVZWVViOU5MTHJFZlNLWHU?oc=5,United States (EN),CS,"Cyber & IT Security (Ransomware attacks, IT/system outages, data breaches at key suppliers)",Boeing (Direct),"Renton, WA, US",2.5
Boeing Revenue Jumps on Deliveries as Losses Narrow and Backlog Hits Record,Yahoo Finance,2026-04-22 07:00:00,Boeing Revenue Jumps on Deliveries as Losses Narrow and Backlog Hits Record  Yahoo Finance,https://news.google.com/rss/articles/CBMipgFBVV95cUxNYnJJSVJ3bFg2b0lXNHJGR2NMVTdCdlJDMzlGTEZQWlV3WHlydzB5dmNOczF3MGF5azZzRC0tZnpfd2xfd1pydEN5allXZG1QSjhnbE01YUNzQzJmdUtOLWxGbk5VOVRHSVlYSS1ReEFtSGYzWmpqWXRoNFNkSkloS19ZTFIwV1hLem1KRGRrYXdnVEZFdkdnWDFPb0JLVGJValVGaVZB?oc=5,United States (EN),FC,"Financial & Corporate (Supplier bankruptcy, distress, mergers & acquisitions, re-verticalization)",Boeing (Direct),"Renton, WA, US",2.5
Boeing and the Supply Chain Cost of Industrial Complexity,Logistics Viewpoints,2026-04-24 07:00:00,Boeing and the Supply Chain Cost of Industrial Complexity  Logistics Viewpoints,https://news.google.com/rss/articles/CBMiowFBVV95cUxPNjJlV2Mzd3BYQ0hKYy1uVXNzbUpxMzNzRTk3cDhKc3lMQjBnMFpTR2dPc0xaRkdBbGs5SHZ1VTAtQVBQMDRBVnUxMXVySlVtY1hpeGJLUFJjbWxhR1RISEFnQ1ZQMnFFd09GcEZwV29XUGljSnp6TVhfT3JDNUwyeXJJM0lMUS1EUFJJQVd6MnAyZGcxOWVXUXJBVVQ0RlJ0X1Mw?oc=5,United States (EN),LT,"Logistics & Transportation (Rail delays, port congestion, shipping/air cargo capacity bottlenecks)",Boeing (Direct),"Renton, WA, US",2.5
Boeing’s backlog boom puts cash flow to the test,Yahoo Finance,2026-03-28 07:00:00,Boeing’s backlog boom puts cash flow to the test  Yahoo Finance,https://news.google.com/rss/articles/CBMimgFBVV95cUxONGJFZjdzRkFzcmhYN1RkWG41UmMxZ05fVmFFQmRNUkh3cVBITFZKRThMeUlZd1owQVUzMVYza0pBampCNWlReUZzTmhlXzRtSzZtLTNnQTFiVzRFeWZ6QnJqSDBOaE5lSjJyNEtweVdYdWx5eExLS1VTVjVnTTNzSUVSVHhYZUlPMnhqOEhQR2hZNDRfVjFtZW9n?oc=5,United States (EN),FC,"Financial & Corporate (Supplier bankruptcy, distress, mergers & acquisitions, re-verticalization)",Boeing (Direct),"Renton, WA, US",2.5
Boeing And Airbus Backlogs Surge — Why Dedicated Parts Makers Like Wheels And Brakes Are The Real Beneficiaries,Yahoo Finance,2026-04-11 07:00:00,Boeing And Airbus Backlogs Surge — Why Dedicated Parts Makers Like Wheels And Brakes Are The Real Beneficiaries  Yahoo Finance,https://news.google.com/rss/articles/CBMiowFBVV95cUxOODhiejV5UVVxZk1TNXI4ejhGWWp1ZFdLaWtFMGxWVFZEMzlTWHk0NTI5OURlc2xWMHg0UmwxNnBtejcwczhLdzBKMF9sQzgxVVUtUk1VUnB6eWhCbHg3V3BGUi1uTzc4VktaNkxUU1ZmTTg0RVBycDZHblJXVVl4aVMza09mOW0tUTRxaFFXNHk2bkM4MGtXZ1VYd3FJMWNLRzM4?oc=5,United States (EN),FC,"Financial & Corporate (Supplier bankruptcy, distress, mergers & acquisitions, re-verticalization)",Boeing (Direct),"Renton, WA, US",2.5
Airbus And Boeing Report February 2026 Commercial Aircraft Orders and Deliveries,Forecast International,2026-03-10 07:00:00,Airbus And Boeing Report February 2026 Commercial Aircraft Orders and Deliveries  Forecast International,https://news.google.com/rss/articles/CBMi0wFBVV95cUxOME53eVN1ZkczeDlHSW05dXpkNWNhYkhZaVA1OWhhSlAxVjdoekRIWEpxUG9sX2FyTkRVYTFOcGl4eU82T0NuLUlscUdwaTVSSkFjaXFaM0hvU1ZvY1BTWHlxZzRGaEYzNnl1bWJZelhILWdjM2Z0bVdFc1djUzdVQ2UyZU1yLTdzMVVJbXRyNHJnSC0xQVhGVkszZm14WFA5YU5MYmRkaTBxdG84eFNCcjRVdzBibVZRN1N5UjlMUFZXd1NtM1FaQml1ZUJtdGFjaHNn?oc=5,United States (EN),MS,"Material & Component Shortages (Raw material shortages, castings, fasteners, titanium/nickel delays)",Boeing (Direct),"Renton, WA, US",2.5
Airbus and Boeing Report January 2026 Commercial Aircraft Orders and Deliveries,Forecast International,2026-02-10 08:00:00,Airbus and Boeing Report January 2026 Commercial Aircraft Orders and Deliveries  Forecast International,https://news.google.com/rss/articles/CBMi0gFBVV95cUxNYnppV1BtZWJ4QXpTcXdLM0tIcEZQWHUteXJ4MjR1VkpvRUZ0MjY2MV95YjN0a1doRGtGVjdiRzVkQXI0V1drNFhROUNFUU5xQ0NrNGFKbTVNWG1YeXNMa2ZrVUZWMWNqUWFSRS0xeTZ2R0dVNnFWeVp2NTJGbldMX0c0RV9TTHpoVjN1WHRleUFueTVjeFh1MzFMS0plZk5oLWVySEN6Uk05V1VsN21JVTJ2b2phZVh1QzljcFlpYWR4TnRqQXg1SnBNa3N3cVk4bkE?oc=5,United States (EN),MS,"Material & Component Shortages (Raw material shortages, castings, fasteners, titanium/nickel delays)",Boeing (Direct),"Renton, WA, US",2.5
Boeing says wiring flaws could delay first-quarter deliveries of 737 MAX jets,CNBC,2026-03-10 07:00:00,Boeing says wiring flaws could delay first-quarter deliveries of 737 MAX jets  CNBC,https://news.google.com/rss/articles/CBMitAFBVV95cUxPOHpsVXFDRnBqeWd5LUtDd3p0cGphUmw5STJQZzR6cmdoMktvOUJHQ09DbWlhZ3dCNFBxRzRwaWNsdWdPWGdNcWlyN2RiTl9XTXpPM3BfZ3lBTjgxVHNmX2MzTUhZOURYRURRV2hGMk9VcmVtVHV2Vlhud3ZuQnk5OUhFdGYzRXJ3eXlpZGFzcTEyMHlfYUw5LUhaZ0paS2c5RlZZR2M4Q3ZvSmxEY3JWSm5sRDPSAboBQVVfeXFMUHhWMTBkNndJUDRfSlZoOTdtbmtyRS11bzdOZ1ZFZXdEdS11ZFNNNHZoZjk0c0VBNkF5Umx2UTJtaHpkODdXWGhzTzRRclFINEhZVGdiR212Yjg5U0N6SnFFTnJRanhBcXJMcFo1eDdXZzBmWk9VNHMzXzQ4d196eTB2REJFLTJUVU5yME5jWUVpdU1mNWJKQXpSSi1hY1R5UWZ0WktTZGJKcXVlSVFtSUl6ZlROSk5KdmhR?oc=5,United States (EN),LT,"Logistics & Transportation (Rail delays, port congestion, shipping/air cargo capacity bottlenecks)",Boeing (Direct),"Renton, WA, US",5.0
Boeing says wiring flaws could delay first-quarter 737 MAX jet deliveries,Reuters,2026-03-10 07:00:00,Boeing says wiring flaws could delay first-quarter 737 MAX jet deliveries  Reuters,https://news.google.com/rss/articles/CBMiwgFBVV95cUxPWXdOcEt0TExJU0k2YlY3ZFVwM2hsQ0hIMzJNMDRTUkRSdEw5aXh1RHd0TlNrWWxPVVZ6YW1GcmtzdS1zeG42YmdFdWFmd2Q3VXFBN3VYS0Q4bzhseTFURHBfSUpadTNkTUN2Q25rQ1ljVXFHNVBHNXhYeWJGZGlPNFpPUUkwVWNVTkJhTXFlakdmd0U5UEt4SkhxRDRJSlY1cVBJM1FNblFuVmRUVnd6UjNMYXZNN1BoSkFULVRNbVkyQQ?oc=5,United States (EN),LT,"Logistics & Transportation (Rail delays, port congestion, shipping/air cargo capacity bottlenecks)",Boeing (Direct),"Renton, WA, US",5.0
'Machining error' causes delivery delay of Boeing 737 MAX airplanes,KING5.com,2026-03-10 07:00:00,'Machining error' causes delivery delay of Boeing 737 MAX airplanes  KING5.com,https://news.google.com/rss/articles/CBMi4wFBVV95cUxPZUhEV1lLNUNJVjhNUVByRVJpTkFPUDM3WEZHM1JrRXdaeU1Ga0UyV3BZUXlKdWlBV1lNT3Q3M0lpNEFPUTA0R1lmbVpDOS1EU3J5dnE5eHdKWmdteGxnV2hDZEVkRDBHam1ReVgwWVJWd0l2aVNZSEk5RmdFUy1CS0J1Vkc2S0VtdlNFN2tPeFlWcVdLdXNrRVlhTktHaWVDajh4dW04MURseWRmS1dzcDZpRW1lb2dKSGxuY1l4LW5JR2ZyczFoajdFTVh2VW5NZWJkR0stTnpTSTBpbUJqWHlpYw?oc=5,United States (EN),LT,"Logistics & Transportation (Rail delays, port congestion, shipping/air cargo capacity bottlenecks)",Boeing (Direct),"Renton, WA, US",5.0
The Boeing Company (BA) Eyes Strong Recovery as Backlog Surges and Margins Stabilize,Yahoo Finance,2026-03-22 07:00:00,The Boeing Company (BA) Eyes Strong Recovery as Backlog Surges and Margins Stabilize  Yahoo Finance,https://news.google.com/rss/articles/CBMimgFBVV95cUxPWEZ2T2tMeUpTWWh3VUVXLW45ODQ2ZzI5NlMyYV91djhIWEhEZXBrRXE4X0g5Rjc4dGs4QTNCQkdMbXREN0pFTzR0Z1NBQXlaS3VRcl82cmpLc3ItLWFwcEVJSEhZZktvc1FsWXIzVjA1dzFOejc2U3pEOVR1cGxOQ1laLUxnQkJXaWxrTk9JQk9ldm8tRm1GdG5B?oc=5,United States (EN),FC,"Financial & Corporate (Supplier bankruptcy, distress, mergers & acquisitions, re-verticalization)",Boeing (Direct),"Renton, WA, US",2.5
"The Iran War Will Delay Commercial Aircraft Production, Boeing Warns",The National Interest,2026-03-19 07:00:00,"The Iran War Will Delay Commercial Aircraft Production, Boeing Warns  The National Interest",https://news.google.com/rss/articles/CBMisgFBVV95cUxNMzdaN2t3TDJkZGZlSllDTTFid0VTVUlUZ0RPTHlFMW5WcWUzVC1reHd4d1o0SEx5LU13NGZZMnhKNTc2SmxUM3cxdnhMd2FhVGQzelVyXzR5ZG1WNDJWN1BGMHVVQkdfQkV3RXlDU1ppXy13ZHR3QXFJQ3lHd0pjUjVZdEtGQ0FqNTVmUHZQMUYwZm9KeWRYUjQzNXlWX3FXcjdnRGJYVDN0TjVmSFZ2Q1F3?oc=5,United States (EN),LT,"Logistics & Transportation (Rail delays, port congestion, shipping/air cargo capacity bottlenecks)",Boeing (Direct),"Renton, WA, US",5.0
Boeing reports narrower quarterly loss as revenue rises to $22.2B and backlog hits record,KOMO,2026-04-22 07:00:00,Boeing reports narrower quarterly loss as revenue rises to $22.2B and backlog hits record  KOMO,https://news.google.com/rss/articles/CBMi9gFBVV95cUxOdFJTNHNZb2VJbEthQUlseWRCRXFMdnI0NUVKN3ZFQVlaQUMzdlliNjJ4bUNTbHhacVhwWHFEblY5Z2JOdGZvZ21zRDIzT25kTGtkT3FJMmhSRnNZUEpBQURiYWxySkxRRnM1M2NnZk1KOHJCY21zZEYzYk0wc0dZRVkxTk1PMloxMUEyNUlhUDFBQXI5aVlpT2oxVWNhMUpxRWlQOGhkcENhR0ZTSmJuWFc1Z0x3cjY5bFg1Z0F1c1lxcWFiZUxYOE9vNXliaUlxdXFGekFqdGFDYmVWQmk4S0ZXSFA5S0dlQWZ6SmN6N3dIWm9NcWc?oc=5,United States (EN),LT,"Logistics & Transportation (Rail delays, port congestion, shipping/air cargo capacity bottlenecks)",Boeing (Direct),"Renton, WA, US",2.5
Boeing’s Widebody Vulnerability: Why 14% Of Its Backlog Is Now At Risk,Simple Flying,2026-03-15 07:00:00,Boeing’s Widebody Vulnerability: Why 14% Of Its Backlog Is Now At Risk  Simple Flying,https://news.google.com/rss/articles/CBMigAFBVV95cUxQNmNMMENqRUlkcy1KVkV6WV85VDNRM2E4cDJHSjNVV3lEVS1MYUwyS1gtTURMRjg5MEh0WFA0LVIyUlVoQkpzY3l3Ti1BWDhlc2Z0NEtTLWlTLXRmLTFyczFoeFg3MkM0V1hEeC10MG90bmdNcjNSMW1vSXlpbTVPMg?oc=5,United States (EN),CS,"Cyber & IT Security (Ransomware attacks, IT/system outages, data breaches at key suppliers)",Boeing (Direct),"Renton, WA, US",2.5
Boeing Reports Supply Chain Quality Improvements,AVweb,2026-02-12 08:00:00,Boeing Reports Supply Chain Quality Improvements  AVweb,https://news.google.com/rss/articles/CBMigAFBVV95cUxNblF2LU4wT3dUZ05UVEFYV29acUd0NHlpTndVVjFnYk1UTjV3dDBzb1VOOGFvbG5mR3cyVTVHRlVVQzJOX05HWnhFYTNjeEpfNER0WEktUXZrRWtxZWNhZEpEZzJfaWJ4UHdfLV9KZXZJdmE4a1h1NW5qXzUzYURvSg?oc=5,United States (EN),QS,"Quality & Safety (Supplier defects, quality escapes, airworthiness directives, recalls, inspections)",Boeing (Direct),"Renton, WA, US",2.5
Boeing sees significant supply chain quality gains,Reuters,2026-02-11 08:00:00,Boeing sees significant supply chain quality gains  Reuters,https://news.google.com/rss/articles/CBMiswFBVV95cUxOVmR0UFhBUkRRVHA4czc0eF9KLUN4bmZqR2JpcG1VTVZlMnRKWHZQQmgxRFpVTVN4MXpsSEd4aWNKd1FXZDNqbHRkbGFseVhKOVlreW9RNHpUc1RUOWI5R2FWN3hmaFJGdW1RM0xQdENSQ1hGM05ZdkxsbUF4aWp4UHdheDh5RU9NS3FseVpqUFJSbmpXbVMxSnVFVVoyTWRkMHRiMGRvWlZocmJhWXdTUFFQZw?oc=5,United States (EN),QS,"Quality & Safety (Supplier defects, quality escapes, airworthiness directives, recalls, inspections)",Boeing (Direct),"Renton, WA, US",2.5
